sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm25,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm25_avg,pm10_avg,so2_avg,longitude,latitude,siteid
崙背,雲林縣,40,,良好,1.6,0.28,36.3,33.8,47,15,10.7,12,1.2,2.4,0,2022/12/14 15:00,0.3,12,36,1,120.348742,23.757547,38
新港,嘉義縣,35,,良好,1.5,0.3,39.2,35.6,50,14,10.8,13.1,2.2,3.6,353,2022/12/14 15:00,0.3,10,33,1,120.345531,23.554839,39
朴子,嘉義縣,45,,良好,1.8,0.33,39.6,36.8,46,16,11.1,12.8,1.6,2.2,355,2022/12/14 15:00,0.3,13,42,1,120.2478111,23.46712222,40
臺西,雲林縣,39,,良好,1.7,0.24,45,40.8,38,13,5.8,6.6,0.8,8.4,23,2022/12/14 15:00,0.2,12,39,1,120.1993333,23.702175,41
嘉義,嘉義市,39,,良好,2.5,0.38,36,28.7,26,15,15.1,16.6,1.5,2.1,18,2022/12/14 15:00,0.3,12,25,2,120.4412515,23.46477865,42
新營,臺南市,36,,良好,1.5,0.33,42,34.1,34,11,11.1,13.3,2.2,2.5,18,2022/12/14 15:00,0.3,11,30,1,120.31725,23.305633,43
善化,臺南市,40,,良好,1.7,0.3,37.5,31.8,38,15,13,14.3,1.2,3.4,9,2022/12/14 15:00,0.2,12,27,2,120.2974053,23.11337642,44
安南,臺南市,52,細懸浮微粒,普通,0,0.38,41.4,33.3,0,0,12.3,13.9,1.5,2.9,350,2022/12/14 15:00,0.3,16,37,1,120.2175,23.048197,45
臺南,臺南市,59,細懸浮微粒,普通,0,0,81.6,36.6,0,0,0,0,0,1.3,55,2022/12/14 15:00,0.5,18,32,0,120.2223806,22.98525833,46
美濃,高雄市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022/12/14 15:00,0,0,0,0,120.530542,22.883583,47
橋頭,高雄市,71,細懸浮微粒,普通,1.7,0.39,36.4,27.8,51,25,18.4,21.3,2.9,2.2,1,2022/12/14 15:00,0.3,23,45,1,120.305689,22.757506,48
仁武,高雄市,76,細懸浮微粒,普通,2.1,0.37,37.7,25.3,35,25,18.5,20.7,2.2,2.9,332,2022/12/14 15:00,0.4,25,38,2,120.332631,22.689056,49
鳳山,高雄市,92,細懸浮微粒,普通,1.6,0.65,35.5,22.5,0,34,29,33.3,4.3,0.7,259,2022/12/14 15:00,0.7,32,49,2,120.357422,22.628126,50
大寮,高雄市,97,細懸浮微粒,普通,2.4,0.44,44.9,27.8,56,32,26.4,28.1,1.7,1.5,353,2022/12/14 15:00,0.4,34,53,2,120.425311,22.56413611,51
林園,高雄市,87,細懸浮微粒,普通,2.8,0.37,47.4,26.4,61,26,20.8,21.6,0.7,1.5,271,2022/12/14 15:00,0.4,30,62,2,120.41175,22.4795,52
楠梓,高雄市,63,細懸浮微粒,普通,1.6,0.38,38.3,28.3,53,19,17.2,19.8,2.5,2,348,2022/12/14 15:00,0.3,20,46,1,120.328289,22.733667,53
左營,高雄市,73,細懸浮微粒,普通,1.5,0.38,41.7,30.7,54,26,17.7,19.5,1.8,2.8,10,2022/12/14 15:00,0.4,24,44,2,120.292917,22.674861,54
前金,高雄市,85,細懸浮微粒,普通,1.4,0.42,45.5,30.9,50,30,17.7,19.6,1.9,2.8,338,2022/12/14 15:00,0.4,29,47,0,120.2867611,22.63390278,56
